% MP,res,freq (Hz),real(mf.VCoil_2/(mf.ICoil_1*mf.omega*1j)) (H),imag(mf.VCoil_2/(mf.ICoil_1*mf.omega*1j)) (H),real(mf.VCoil_3/(mf.ICoil_1*mf.omega*1j)) (H),imag(mf.VCoil_3/(mf.ICoil_1*mf.omega*1j)) (H)
300,2e-07,48000,0.000526218726763672,-6.93820862424366e-05,0.000185516832349968,-7.38483980621311e-05
300,4e-07,375,0.000612592705252504,1.43413816666128e-06,0.000664573481404912,-0.000101530762136748
300,4e-07,750,0.00061560708347731,9.75215837895266e-06,0.000604271367183644,-0.00016965931372525
300,4e-07,1500,0.000629993523360364,1.29910658242388e-05,0.000479444290990473,-0.000211080731253111
300,4e-07,3000,0.000645680441005007,-3.81633165576462e-06,0.000358646231961451,-0.000171869023593652
300,4e-07,6000,0.000641091602024467,-3.69023169537743e-05,0.000303438923358035,-0.00012098429693003
300,4e-07,12000,0.000609324911599832,-6.5443907602406e-05,0.000267757746872587,-0.000101081513358278
300,4e-07,24000,0.00056650535623726,-7.35449678681397e-05,0.000226120234463064,-9.07806985756588e-05
300,4e-07,48000,0.000531689770846957,-7.02777023486062e-05,0.000185510316567073,-7.38458540945705e-05
300,6e-07,375,0.000616454315883559,2.59717685034716e-06,0.000665138744193292,-0.000101660870422534
300,6e-07,750,0.000619930986086406,1.04265202063042e-05,0.00060460344316392,-0.000170025470404781
300,6e-07,1500,0.000634459959685004,1.30848083713315e-05,0.000479458062710682,-0.000211403168009385
300,6e-07,3000,0.00064989534444198,-4.15885222804766e-06,0.00035854143510303,-0.00017197335331374
300,6e-07,6000,0.000644967525298563,-3.73204268982148e-05,0.000303392014605446,-0.00012098393881146
300,6e-07,12000,0.000613047075612319,-6.58456242896983e-05,0.000267747526265491,-0.000101074615095155
300,6e-07,24000,0.000570061093990991,-7.40946234168715e-05,0.000226115938537425,-9.07790427852065e-05
300,6e-07,48000,0.000534940375577767,-7.08818145913318e-05,0.00018550647499766,-7.38441295582768e-05
300,8e-07,375,0.000619035512031345,3.53115937274004e-06,0.000665526435061877,-0.000101699262145049
300,8e-07,750,0.000622806196015712,1.09875837309734e-05,0.000604864143540493,-0.000170268092363475
300,8e-07,1500,0.000637453295644771,1.32575165838288e-05,0.000479474145224358,-0.000211630560285956
300,8e-07,3000,0.000652791537597598,-4.25055493833948e-06,0.000358471978510825,-0.000172051541976192
300,8e-07,6000,0.000647703330054306,-3.74690575849668e-05,0.000303357931900646,-0.000120986384087652
300,8e-07,12000,0.000615757736963406,-6.59957579660903e-05,0.000267739263935928,-0.000101070033500332
300,8e-07,24000,0.000572742732387546,-7.44194495507e-05,0.000226112552671821,-9.07777581973611e-05
300,8e-07,48000,0.000537360551001068,-7.13729843938156e-05,0.000185503631922785,-7.38427400309489e-05
300,1e-06,375,0.000620928169888781,4.37740763460921e-06,0.00066581183121949,-0.000101697952180022
300,1e-06,750,0.000624929253551265,1.14612522510208e-05,0.000605079159361109,-0.000170436350589428
300,1e-06,1500,0.000639676057433229,1.34388171369986e-05,0.0004794919028873,-0.000211808700267747
